College Name,Location,Branch 1,Fees 1,Branch 2,Fees 2,Link
Matoshri College of Engineering and Research Centre - [MCOERC] Eklahare,"Nashik, Maharashtra",BE (Information Technology),"₹ 83,701",BE Artificial Intelligence and D...,"₹ 83,701",https://collegedunia.com/college/28768-matoshri-college-of-engineering-and-research-centre-mcoerc-eklahare-nashik/courses-fees?course_id=5108
Watumull Institute of Electronic Engineering and Computer Technology - [WIEECT],"Mumbai, Maharashtra",BE Computer Engineering,"₹ 6,80,000",BE Civil Engineering,"₹ 6,80,000",https://collegedunia.com/college/15517-watumull-institute-of-electronic-engineering-and-computer-technology-wieect-mumbai/courses-fees?course_id=1954
N.B. Navale Sinhgad College of Engineering,"Solapur, Maharashtra",B.Tech Computer Science Engineering,"₹ 3,82,000",B.Tech Electronics & Telecommuni...,"₹ 3,82,000",https://collegedunia.com/college/28834-nb-navale-sinhgad-college-of-engineering-solapur/courses-fees?course_id=2049
G H Raisoni College of Engineering and Management - [GHRCEM],"Jalgaon, Maharashtra",B.Tech Artificial Intelligence a...,"₹ 3,32,000",B.Tech Computer Science Engineering,"₹ 3,32,000",https://collegedunia.com/college/59110-g-h-raisoni-college-of-engineering-and-management-ghrcem-jalgaon/courses-fees?course_id=15865
S.B. Patil College of Engineering - [SBPCOE] Indapur,"Pune, Maharashtra",BE Computer Engineering,"₹ 3,40,000",BE Artificial Intelligence and D...,"₹ 3,40,000",https://collegedunia.com/college/14810-sb-patil-college-of-engineering-sbpcoe-indapur-pune/courses-fees?course_id=1954
PES College of Engineering - [PESCOE],"Aurangabad, Maharashtra",B.Tech Computer Science Engineering,"₹ 3,40,000",B.Tech Data Science,"₹ 3,40,000",https://collegedunia.com/college/14553-pes-college-of-engineering-pescoe-aurangabad/courses-fees?course_id=2049
Sharadchandra Pawar College of Engineering - [SPCOE] Dumberwadi,"Pune, Maharashtra",BE Computer Engineering,"₹ 68,000",BE Electronics & Telecom Enginee...,"₹ 68,000",https://collegedunia.com/college/15022-sharadchandra-pawar-college-of-engineering-spcoe-dumberwadi-pune/courses-fees?course_id=1954
Nagesh Karajagi Orchid College of Engineering and Technology - [NKOCET],"Solapur, Maharashtra",B.Tech Computer Science Engineering,"₹ 4,44,000",B.Tech Electronics & Telecommuni...,"₹ 4,44,000",https://collegedunia.com/college/28841-nagesh-karajagi-orchid-college-of-engineering-and-technology-nkocet-solapur/courses-fees?course_id=2049
Govindrao Wanjari College of Engineering and Technology - [GWCET],"Nagpur, Maharashtra",BE Computer Science and Engineering,"₹ 1,00,000",BE (Information Technology),"₹ 1,00,000",https://collegedunia.com/college/13623-govindrao-wanjari-college-of-engineering-and-technology-gwcet-nagpur/courses-fees?course_id=1956
Shatabdi Institute of Engineering and Research - [SIER],"Nashik, Maharashtra",BE Computer Engineering,"₹ 2,96,000",BE Electronics & Telecom Enginee...,"₹ 2,96,000",https://collegedunia.com/college/15023-shatabdi-institute-of-engineering-and-research-sier-nashik/courses-fees?course_id=1954
Sant Gajanan Maharaj College of Engineering,"Kolhapur, Maharashtra",B.Tech Computer Science Engineering,"₹ 75,000",,,https://collegedunia.com/college/45781-sant-gajanan-maharaj-college-of-engineering-kolhapur/courses-fees?course_id=2049
Suman Ramesh Tulsiani Technical Campus Faculty of Engineering - [SRTTC] Kamshet,"Pune, Maharashtra",BE Artificial Intelligence and D...,,BE Data Science,N/A,https://collegedunia.com/college/15351-suman-ramesh-tulsiani-technical-campus-faculty-of-engineering-srttc-kamshet-pune/courses-fees?course_id=20216
SND College of Engineering and Research Centre Yeola,"Nashik, Maharashtra",BE Computer Engineering,"₹ 90,340",BE Mechanical Engineering,"₹ 90,340",https://collegedunia.com/college/14839-snd-college-of-engineering-and-research-centre-yeola-nashik/courses-fees?course_id=1954
Brahma Valley College of Engineering and Research Institute,"Nashik, Maharashtra",BE Civil Engineering,"₹ 3,76,000",BE Computer Engineering,"₹ 3,76,000",https://collegedunia.com/college/13107-brahma-valley-college-of-engineering-and-research-institute-nashik/courses-fees?course_id=1936
Mauli Group of Institution's College of Engineering and Technology,"Buldhana, Maharashtra",BE Computer Science and Engineering,"₹ 3,20,000",BE (Information Technology),"₹ 3,20,000",https://collegedunia.com/college/28779-mauli-group-of-institutions-college-of-engineering-and-technology-buldhana/courses-fees?course_id=1956
Pravin Patil College of Diploma Engineering and Technology,"Thane, Maharashtra",B.Tech Computer Engineering,N/A,B.Tech Information Technology,N/A,https://collegedunia.com/college/27419-pravin-patil-college-of-diploma-engineering-and-technology-thane/courses-fees?course_id=2047
Jawahar Education Society's Institute of Technology Management & Research [JIT],"Nashik, Maharashtra",BE (Information Technology),"₹ 66,497",BE Computer Engineering,"₹ 66,497",https://collegedunia.com/college/28937-jawahar-education-societys-institute-of-technology-management-and-research-jit-nashik/courses-fees?course_id=5108
Sanghavi College of Engineering,"Nashik, Maharashtra",BE Computer Engineering,"₹ 3,26,000",BE Civil Engineering,"₹ 3,26,000",https://collegedunia.com/college/45779-sanghavi-college-of-engineering-nashik/courses-fees?course_id=1954
Finolex Academy of Management and Technology - [FAMT],"Ratnagiri, Maharashtra",BE Artificial Intelligence & Mac...,"₹ 92,000",BE (Information Technology),"₹ 92,000",https://collegedunia.com/college/13465-finolex-academy-of-management-and-technology-famt-ratnagiri/courses-fees?course_id=16332
Smt Radhikatai Pandav College of Engineering -[SRPCE],"Nagpur, Maharashtra",BE Computer Engineering,"₹ 86,000",BE Electrical Engineering,"₹ 86,000",https://collegedunia.com/college/15163-smt-radhikatai-pandav-college-of-engineering-srpce-nagpur/courses-fees?course_id=1954
Shri Chhatrapati Shivaji Maharaj College of Engineering - [SCOEA] Nepti,"Ahmednagar, Maharashtra",BE Computer Engineering,"₹ 2,20,000",BE Artificial Intelligence and D...,"₹ 2,20,000",https://collegedunia.com/college/45787-shri-chhatrapati-shivaji-maharaj-college-of-engineering-scoea-nepti-ahmednagar/courses-fees?course_id=1954
Vidya Niketan College of Engineering Sangamner,"Ahmednagar, Maharashtra",BE Computer Engineering,"₹ 3,04,000",,,https://collegedunia.com/college/28892-vidya-niketan-college-of-engineering-sangamner-ahmednagar/courses-fees?course_id=1954
Nanasaheb Mahadik College of Engineering - [NMCE],"Sangli, Maharashtra",B.Tech Computer Science Engineering,"₹ 3,40,000",,,https://collegedunia.com/college/14418-nanasaheb-mahadik-college-of-engineering-nmce-sangli/courses-fees?course_id=2049
"Vilasrao Deshmukh Foundation Group of Institutions, School of Engineering & Technology and School of Pharmacy - [VDFGI]","Latur, Maharashtra",B.Tech Computer Engineering,"₹ 2,14,000",B.Tech Electrical Engineering,"₹ 2,14,000",https://collegedunia.com/college/60679-vilasrao-deshmukh-foundation-group-of-institutions-school-of-engineering-and-technology-and-school-of-pharmacy-vdfgi-latur/courses-fees?course_id=2047
Jaywant College of Engineering and Management - [JCEM],"Sangli, Maharashtra",BE Computer Engineering,"₹ 2,10,000",,,https://collegedunia.com/college/13874-jaywant-college-of-engineering-and-management-jcem-sangli/courses-fees?course_id=1954
Anjuman-I-Islam's Kalsekar Technical Campus - [AIKTC],"Navi Mumbai, Maharashtra",BE Computer Engineering,"₹ 1,08,500",BE Artificial Intelligence & Mac...,"₹ 1,08,500",https://collegedunia.com/college/28385-anjumaniislams-kalsekar-technical-campus-aiktc-navi-mumbai/courses-fees?course_id=1954
Vilasrao Deshmukh College of Engineering and Technology - [VDCET],"Nagpur, Maharashtra",B.Tech Computer Engineering,"₹ 3,20,000",B.Tech Mechanical Engineering,"₹ 3,20,000",https://collegedunia.com/college/19191-vilasrao-deshmukh-college-of-engineering-and-technology-vdcet-nagpur/courses-fees?course_id=2047
Yashoda Technical Campus - [YTC],"Satara, Maharashtra",BE Artificial Intelligence and D...,"₹ 1,06,000",BE Computer Engineering,"₹ 1,06,000",https://collegedunia.com/college/28926-yashoda-technical-campus-ytc-satara/courses-fees?course_id=20216
Shri Shivaji Institute Of Engineering & Management Studies - [SSIEMS],"Parbhani, Maharashtra",BE Computer Science and Engineering,"₹ 1,86,000",BE Electrical and Electronics En...,"₹ 1,86,000",https://collegedunia.com/college/57634-shri-shivaji-institute-of-engineering-and-management-studies-ssiems-parbhani/courses-fees?course_id=1956
DY Patil Education Society's DY Patil Technical Campus - [DYP],"Kolhapur, Maharashtra",BE Computer Engineering,"₹ 3,52,000",BE Data Science,"₹ 3,52,000",https://collegedunia.com/college/28611-dy-patil-education-societys-dy-patil-technical-campus-dyp-kolhapur/courses-fees?course_id=1954
Dr. Rajendra Gode Institute of Technology & Research - [DRGITR],"Amravati, Maharashtra",BE Computer Science and Engineering,"₹ 3,80,000",BE Electronics & Telecom Enginee...,"₹ 3,80,000",https://collegedunia.com/college/13796-dr-rajendra-gode-institute-of-technology-and-research-drgitr-amravati/courses-fees?course_id=1956
Everest Education Society Group of institutions College of Engineering and Technology,"Aurangabad, Maharashtra",BE Computer Science and Engineering,"₹ 2,00,000",,,https://collegedunia.com/college/28618-everest-education-society-group-of-institutions-college-of-engineering-and-technology-aurangabad/courses-fees?course_id=1956
Shri Shankarprasad Agnihotri College of Engineering - [SSPACE],"Wardha, Maharashtra",BE Computer Science and Engineering,"₹ 75,000",,,https://collegedunia.com/college/15064-shri-shankarprasad-agnihotri-college-of-engineering-sspace-wardha/courses-fees?course_id=1956
Sanjeevan Engineering and Technology Institute - [SETI] Panhala,"Kolhapur, Maharashtra",B.Tech Computer Science Engineering,"₹ 4,00,000",,,https://collegedunia.com/college/14922-sanjeevan-engineering-and-technology-institute-seti-panhala-kolhapur/courses-fees?course_id=2049
Universal College of Engineering,"Thane, Maharashtra",BE Computer Engineering,"₹ 85,000",BE (Information Technology),"₹ 85,000",https://collegedunia.com/college/28895-universal-college-of-engineering-thane/courses-fees?course_id=1954
H.V.P.Mandal's College of Engineering & Technology,"Amravati, Maharashtra",BE Computer Science and Engineering,"₹ 3,72,000",BE (Information Technology),"₹ 3,72,000",https://collegedunia.com/college/58156-hvpmandals-college-of-engineering-and-technology-amravati/courses-fees?course_id=1956
International Center of Excellence in Engineering & Management - [ICEEM],"Aurangabad, Maharashtra",BE Computer Science and Engineering,"₹ 2,32,000",BE Artificial Intelligence & Mac...,"₹ 2,32,000",https://collegedunia.com/college/28416-international-center-of-excellence-in-engineering-and-management-iceem-aurangabad/courses-fees?course_id=1956
Vishwaniketan’s Institute of Management Entrepreneurship & Engineering Technology - [VIMEET],"Navi Mumbai, Maharashtra",BE Computer Engineering,"₹ 3,20,000",BE Artificial Intelligence & Mac...,"₹ 3,20,000",https://collegedunia.com/college/57628-vishwaniketans-institute-of-management-entrepreneurship-and-engineering-technology-vimeet-navi-mumbai/courses-fees?course_id=1954
Late GN Sapkal College of Engineering,"Nashik, Maharashtra",BE Computer Engineering,"₹ 92,342",BE Artificial Intelligence and D...,"₹ 92,342",https://collegedunia.com/college/14085-late-gn-sapkal-college-of-engineering-nashik/courses-fees?course_id=1954
College of Engineering & Technology North Maharasthra Knowledge City - [COETNMKC],"Jalgaon, Maharashtra",BE Computer Engineering,"₹ 2,63,000",BE Electrical Engineering,"₹ 2,63,000",https://collegedunia.com/college/57622-college-of-engineering-and-technology-north-maharasthra-knowledge-city-coetnmkc-jalgaon/courses-fees?course_id=1954
Matoshri Pratishthan Group of Institutions - [MPGI],"Nanded, Maharashtra",BE Computer Science and Engineering,"₹ 70,000",BE Artificial Intelligence and D...,,https://collegedunia.com/college/58254-matoshri-pratishthan-group-of-institutions-mpgi-nanded/courses-fees?course_id=1956
Vidya Vikas Pratishthan Institute of Engineering and Technology,"Solapur, Maharashtra",BE Computer Science and Engineering,"₹ 70,000",BE Artificial Intelligence and D...,"₹ 70,000",https://collegedunia.com/college/28896-vidya-vikas-pratishthan-institute-of-engineering-and-technology-solapur/courses-fees?course_id=1956
SSVPS's Bapusaheb Shivajirao Deore College of Engineering,"Dhule, Maharashtra",B.Tech Electronics & Telecommuni...,"₹ 95,000",B.Tech Computer Engineering,"₹ 95,000",https://collegedunia.com/college/14084-ssvpss-bapusaheb-shivajirao-deore-college-of-engineering-dhule/courses-fees?course_id=2057
Matsyodari Shikshan Sanstha's College of Engineering and Technology,"Jalna, Maharashtra",BE Computer Science and Engineering,"₹ 3,40,000",,,https://collegedunia.com/college/14304-matsyodari-shikshan-sansthas-college-of-engineering-and-technology-jalna/courses-fees?course_id=1956
SBMSPM's Ashokrao Mane Group of Institutions,"Kolhapur, Maharashtra",B.Tech Artificial Intelligence a...,"₹ 1,06,000",B.Tech Computer Science Engineering,"₹ 1,06,000",https://collegedunia.com/college/57651-sbmspms-ashokrao-mane-group-of-institutions-kolhapur/courses-fees?course_id=15865
Dr. Daulatrao Aher College of Engineering,"Karad, Maharashtra",B.Tech Computer Science Engineering,"₹ 3,42,000",B.Tech Mechanical Engineering,"₹ 3,42,000",https://collegedunia.com/college/58803-dr-daulatrao-aher-college-of-engineering-karad/courses-fees?course_id=2049
SSPM Someshwar Engineering College,"Baramati, Maharashtra",BE Computer Engineering,"₹ 2,64,000",BE Mechanical Engineering,"₹ 2,64,000",https://collegedunia.com/college/58337-sspm-someshwar-engineering-college-baramati/courses-fees?course_id=1954
Vidarbha Institute of Technology,"Nagpur, Maharashtra",BE Computer Science and Engineering,"₹ 3,50,000",BE Electrical Engineering,"₹ 3,50,000",https://collegedunia.com/college/45841-vidarbha-institute-of-technology-nagpur/courses-fees?course_id=1956
Rajiv Gandhi College of Engineering & Polytechnic - [RGCOE],"Ahmednagar, Maharashtra",BE Computer Engineering,"₹ 83,500",,,https://collegedunia.com/college/58791-rajiv-gandhi-college-of-engineering-and-polytechnic-rgcoe-ahmednagar/courses-fees?course_id=1954
Guru Nanak Institute of Technology - [GNIT],"Nagpur, Maharashtra",BE Computer Science and Engineering,"₹ 70,000",BE Data Science,"₹ 70,000",https://collegedunia.com/college/58879-guru-nanak-institute-of-technology-gnit-nagpur/courses-fees?course_id=1956
AG Patil Institute of Technology - [AGPIT],"Solapur, Maharashtra",BE Computer Engineering,"₹ 3,38,000",BE Electronics & Telecom Enginee...,"₹ 3,38,000",https://collegedunia.com/college/12674-ag-patil-institute-of-technology-agpit-solapur/courses-fees?course_id=1954
Bharat-Ratna Indira Gandhi College of Engineering - [BIGCE],"Solapur, Maharashtra",BE Computer Science and Engineering,"₹ 62,000",,,https://collegedunia.com/college/13049-bharatratna-indira-gandhi-college-of-engineering-bigce-solapur/courses-fees?course_id=1956
Konkan Gyanpeeth College of Engineering - [KGCE],"Karjat, Maharashtra",BE Computer Science and Engineering,"₹ 92,000",BE Computer Engineering,,https://collegedunia.com/college/14027-konkan-gyanpeeth-college-of-engineering-kgce-karjat/courses-fees?course_id=1956
VM Institute of Engineering and Technology - [VMIT],"Nagpur, Maharashtra",BE Civil Engineering,"₹ 4,26,000",BE (Information Technology),"₹ 4,26,000",https://collegedunia.com/college/28930-vm-institute-of-engineering-and-technology-vmit-nagpur/courses-fees?course_id=1936
Viva Institute of Technology - [VIOT],"Thane, Maharashtra",BE Computer Engineering,"₹ 3,30,000",BE Artificial Intelligence & Mac...,"₹ 3,30,000",https://collegedunia.com/college/24622-viva-institute-of-technology-viot-thane/courses-fees?course_id=1954
College of Engineering,"Osmanabad, Maharashtra",B.Tech Computer Science Engineering,"₹ 3,96,000",B.Tech Artificial Intelligence a...,"₹ 3,96,000",https://collegedunia.com/college/28511-college-of-engineering-osmanabad/courses-fees?course_id=2049
"Rajiv Gandhi College of Engineering, Research and Technology - [RCERT]","Chandrapur, Maharashtra",B.Tech Mining Engineering,"₹ 5,18,000",B.Tech Computer Science Engineering,"₹ 5,18,000",https://collegedunia.com/college/57625-rajiv-gandhi-college-of-engineering-research-and-technology-rcert-chandrapur/courses-fees?course_id=2099
Anuradha Engineering College - [AEC],"Chikhli, Maharashtra",BE Computer Science and Engineering,"₹ 3,38,000",BE (Information Technology),"₹ 3,38,000",https://collegedunia.com/college/58783-anuradha-engineering-college-aec-chikhli/courses-fees?course_id=1956
Nagarjuna Institute of Engineering Technology and Management - [NIETM],"Nagpur, Maharashtra",B.Tech Computer Science Engineering,"₹ 96,000",B.Tech Artificial Intelligence a...,"₹ 96,000",https://collegedunia.com/college/28838-nagarjuna-institute-of-engineering-technology-and-management-nietm-nagpur/courses-fees?course_id=2049
Ideal Institute of Technology,"Wada, Maharashtra",BE Computer Engineering,"₹ 1,01,000",BE Electronics & Telecom Enginee...,"₹ 1,01,000",https://collegedunia.com/college/58790-ideal-institute-of-technology-wada/courses-fees?course_id=1954
Karmayogi Engineering College,"Solapur, Maharashtra",BE Computer Science and Engineering,"₹ 1,05,000",BE Electronics & Telecom Enginee...,"₹ 1,05,000",https://collegedunia.com/college/13983-karmayogi-engineering-college-solapur/courses-fees?course_id=1956
Shivajirao S. Jondhle College of Engineering and Technology,"Thane, Maharashtra",BE Computer Engineering,"₹ 3,20,000",BE Electronics & Telecom Enginee...,"₹ 3,20,000",https://collegedunia.com/college/58880-shivajirao-s-jondhle-college-of-engineering-and-technology-thane/courses-fees?course_id=1954
Hi-Tech Institute of Technology - [HIT],"Aurangabad, Maharashtra",B.Tech Computer Science Engineering,"₹ 3,52,000",B.Tech Artificial Intelligence a...,"₹ 3,52,000",https://collegedunia.com/college/13713-hitech-institute-of-technology-hit-aurangabad/courses-fees?course_id=2049
Fabtech Technical Campus,"Solapur, Maharashtra",BE Artificial Intelligence and D...,"₹ 80,500",BE Computer Science and Engineering,"₹ 80,500",https://collegedunia.com/college/28622-fabtech-technical-campus-solapur/courses-fees?course_id=20216
Bharat College of Engineering - [BCOE],"Thane, Maharashtra",BE Computer Engineering,"₹ 85,000",BE Artificial Intelligence & Mac...,"₹ 85,000",https://collegedunia.com/college/14096-bharat-college-of-engineering-bcoe-thane/courses-fees?course_id=1954
Maeer's MIT College of Railway Engineering and Research - [MITCORER],"Barshi, Maharashtra",B.Tech Computer Science Engineering,"₹ 3,52,000",B.Tech Mechanical Engineering,"₹ 3,52,000",https://collegedunia.com/college/59800-maeers-mit-college-of-railway-engineering-and-research-mitcorer-barshi/courses-fees?course_id=2049
Dr VB Kolte College of Engineering,"Malkapur, Maharashtra",BE Computer Science and Engineering,"₹ 3,24,000",BE Electrical Engineering,"₹ 3,24,000",https://collegedunia.com/college/13407-dr-vb-kolte-college-of-engineering-malkapur/courses-fees?course_id=1956
Nagnathappa Halge Engineering College - [NHCE],"Beed, Maharashtra",BE Electrical and Electronics En...,"₹ 85,000",,,https://collegedunia.com/college/14410-nagnathappa-halge-engineering-college-nhce-beed/courses-fees?course_id=1958
Atma Malik Institute of Technology & Research - [AMRIT],"Thane, Maharashtra",BE Computer Engineering,"₹ 3,64,000",,,https://collegedunia.com/college/28915-atma-malik-institute-of-technology-and-research-amrit-thane/courses-fees?course_id=1954
Dr. A. D. Shinde College of Engineering - [DADSCOE],"Kolhapur, Maharashtra",B.Tech Computer Science Engineering,"₹ 64,500",B.Tech Electronics & Computer Sc...,"₹ 64,500",https://collegedunia.com/college/59755-dr-a-d-shinde-college-of-engineering-dadscoe-kolhapur/courses-fees?course_id=2049
Dr Bapuji Salunkhe Institute of Engineering and Technology - [BSIET],"Kolhapur, Maharashtra",B.Tech Computer Science Engineering,"₹ 90,000",B.Tech Artificial Intelligence a...,"₹ 90,000",https://collegedunia.com/college/13373-dr-bapuji-salunkhe-institute-of-engineering-and-technology-bsiet-kolhapur/courses-fees?course_id=2049
Suryodaya College of Engineering and Technology - [SCET],"Nagpur, Maharashtra",BE Electronics & Telecom Enginee...,"₹ 81,000",BE Computer Engineering,"₹ 81,000",https://collegedunia.com/college/15374-suryodaya-college-of-engineering-and-technology-scet-nagpur/courses-fees?course_id=1961
Shri Sant Gadge Baba College of Engineering and Technology,"Ahmednagar, Maharashtra",BE Computer Science and Engineering,"₹ 3,78,000",BE Electronics and Computer Engi...,"₹ 3,78,000",https://collegedunia.com/college/15103-shri-sant-gadge-baba-college-of-engineering-and-technology-ahmednagar/courses-fees?course_id=1956
Jagadambha College of Engineering and Technology - [JCET],"Yavatmal, Maharashtra",BE Computer Engineering,"₹ 1,05,000",BE Electronics & Telecom Enginee...,"₹ 1,05,000",https://collegedunia.com/college/28960-jagadambha-college-of-engineering-and-technology-jcet-yavatmal/courses-fees?course_id=1954
Rajarshi Shahu College of Engineering - [RSCE],"Buldhana, Maharashtra",BE Computer Science and Engineering,"₹ 1,78,000",BE Artificial Intelligence and D...,"₹ 1,78,000",https://collegedunia.com/college/58878-rajarshi-shahu-college-of-engineering-rsce-buldhana/courses-fees?course_id=1956
Alamuri Ratnamala Institute of Engineering and Technology - [ARMIET],"Thane, Maharashtra",BE (Information Technology),"₹ 88,500",BE Computer Engineering,"₹ 88,500",https://collegedunia.com/college/12774-alamuri-ratnamala-institute-of-engineering-and-technology-armiet-thane/courses-fees?course_id=5108
Swaminarayan Siddhanta Institute Of Technology,"Nagpur, Maharashtra",BE Electronics & Telecom Enginee...,"₹ 58,000",,,https://collegedunia.com/college/14519-swaminarayan-siddhanta-institute-of-technology-nagpur/courses-fees?course_id=1961
Mahatma Basaveshwar Education Society's College of Engineering - [COEA],"Beed, Maharashtra",BE Computer Science and Engineering,"₹ 73,500",,,https://collegedunia.com/college/45720-mahatma-basaveshwar-education-societys-college-of-engineering-coea-beed/courses-fees?course_id=1956
Babasaheb Naik College of Engineering - [BNCOE],"Yavatmal, Maharashtra",BE Computer Science and Engineering,"₹ 70,000",BE Artificial Intelligence and D...,"₹ 70,000",https://collegedunia.com/college/12966-babasaheb-naik-college-of-engineering-bncoe-yavatmal/courses-fees?course_id=1956
Gharda Institute of Technology-[GIT],"Ratnagiri, Maharashtra",BE Computer Engineering,"₹ 69,549",BE Artificial Intelligence & Mac...,,https://collegedunia.com/college/13552-gharda-institute-of-technologygit-ratnagiri/courses-fees?course_id=1954
R.V. Parankar College of Engineering and Technology,"Wardha, Maharashtra",BE (Information Technology),"₹ 1,12,079",BE Computer Science and Engineering,"₹ 10,57,488",https://collegedunia.com/college/63079-rv-parankar-college-of-engineering-and-technology-wardha/courses-fees?course_id=5108
Anjuman College of Engineering & Technology - [ACET],"Nagpur, Maharashtra",BE Computer Science and Engineering,"₹ 4,64,000",BE Artificial Intelligence and D...,"₹ 4,64,000",https://collegedunia.com/college/12828-anjuman-college-of-engineering-and-technology-acet-nagpur/courses-fees?course_id=1956
Dnyanshree Institute of Engineering & Technology - [DIET],"Satara, Maharashtra",BE Computer Science and Engineering,"₹ 4,08,000",BE Electronics & Telecom Enginee...,"₹ 4,08,000",https://collegedunia.com/college/28587-dnyanshree-institute-of-engineering-and-technology-diet-satara/courses-fees?course_id=1956
Manav School of Engineering and Technology - [MSET],"Akola, Maharashtra",BE Computer Engineering,"₹ 65,000",,,https://collegedunia.com/college/58785-manav-school-of-engineering-and-technology-mset-akola/courses-fees?course_id=1954
Shri Shivaji Education Society's College of Engineering and Technology - [SSE],"Akola, Maharashtra",BE Computer Science and Engineering,"₹ 1,17,000",BE Civil Engineering,"₹ 1,17,000",https://collegedunia.com/college/14858-shri-shivaji-education-societys-college-of-engineering-and-technology-sse-akola/courses-fees?course_id=1956
Gramin Technical and Management Campus,"Nanded, Maharashtra",B.Tech Food Technology,"₹ 2,40,000",B.Tech Civil Engineering,"₹ 2,40,000",https://collegedunia.com/college/60875-gramin-technical-and-management-campus-nanded/courses-fees?course_id=2066
Jamia Institute of Engineering and Management Studies - [JIEMS],"Nandurbar, Maharashtra",BE Electrical Engineering,"₹ 2,28,000",BE Mechanical Engineering,"₹ 2,28,000",https://collegedunia.com/college/45709-jamia-institute-of-engineering-and-management-studies-jiems-nandurbar/courses-fees?course_id=1959
VPM's Maharshi Parashuram College of Engineering - [VPMMPCOE],"Ratnagiri, Maharashtra",BE Electronics and Computer Engi...,"₹ 2,72,000",BE Computer Engineering,"₹ 2,72,000",https://collegedunia.com/college/58802-vpms-maharshi-parashuram-college-of-engineering-vpmmpcoe-ratnagiri/courses-fees?course_id=13532
Indala College of Engineering - [ICOE],"Kalyan, Maharashtra",BE Computer Engineering,"₹ 2,92,000",BE (Information Technology),"₹ 2,92,000",https://collegedunia.com/college/60685-indala-college-of-engineering-icoe-kalyan/courses-fees?course_id=1954
Sandipani Technical Campus Faculty of Engineering - [STMEI],"Latur, Maharashtra",B.Tech Computer Engineering,"₹ 88,500",,,https://collegedunia.com/college/28702-sandipani-technical-campus-faculty-of-engineering-stmei-latur/courses-fees?course_id=2047
Bapurao Deshmukh College of Engineering - [BDCE],"Wardha, Maharashtra",BE Computer Engineering,"₹ 90,000",BE Electronics & Telecom Enginee...,"₹ 90,000",https://collegedunia.com/college/13001-bapurao-deshmukh-college-of-engineering-bdce-wardha/courses-fees?course_id=1954
Hon Shri Babanrao Pachpute Vichardhara Trust's Faculty of Engineering - [HSBPVTFE],"Ahmednagar, Maharashtra",BE Computer Engineering,"₹ 3,04,000",BE Electronics and Computer Engi...,"₹ 3,04,000",https://collegedunia.com/college/28351-hon-shri-babanrao-pachpute-vichardhara-trusts-faculty-of-engineering-hsbpvtfe-ahmednagar/courses-fees?course_id=1954
Adsul Technical Campus Faculty of Engineering & MBA,"Ahmednagar, Maharashtra",BE Computer Engineering,"₹ 4,06,000",BE Electronics & Telecom Enginee...,"₹ 4,06,000",https://collegedunia.com/college/58817-adsul-technical-campus-faculty-of-engineering-and-mba-ahmednagar/courses-fees?course_id=1954
Brahmdevdada Mane Institute of Technology - [BMIT],"Solapur, Maharashtra",BE Computer Science and Engineering,"₹ 4,00,000",,,https://collegedunia.com/college/13109-brahmdevdada-mane-institute-of-technology-bmit-solapur/courses-fees?course_id=1956
Sanjay Bhokare Group of Institutes - [SBGI],"Sangli, Maharashtra",BE Civil Engineering,"₹ 3,74,000",BE Computer Engineering,"₹ 3,74,000",https://collegedunia.com/college/57626-sanjay-bhokare-group-of-institutes-sbgi-sangli/courses-fees?course_id=1936
Shree Santkrupa Institute of Engineering and Technology,"Karad, Maharashtra",B.Tech Computer Science Engineering,"₹ 75,500",,,https://collegedunia.com/college/59681-shree-santkrupa-institute-of-engineering-and-technology-karad/courses-fees?course_id=2049
DN Patel College of Engineering - [DNPCE],"Nandurbar, Maharashtra",B.Tech Computer Engineering,"₹ 3,22,000",B.Tech Electronics & Telecommuni...,"₹ 3,22,000",https://collegedunia.com/college/13297-dn-patel-college-of-engineering-dnpce-nandurbar/courses-fees?course_id=2047
Sahakar Maharashi Shankarrao Mohite - Patil Institute of Technology and Research - [SMSMPITR],"Solapur, Maharashtra",B.Tech Electronics & Telecommuni...,"₹ 2,60,000",B.Tech Computer Science Engineering,"₹ 2,60,000",https://collegedunia.com/college/14891-sahakar-maharashi-shankarrao-mohite-patil-institute-of-technology-and-research-smsmpitr-solapur/courses-fees?course_id=2057
Gangamai College of Engineering,"Dhule, Maharashtra",BE Computer Engineering,"₹ 2,40,000",BE Civil Engineering,"₹ 2,40,000",https://collegedunia.com/college/56788-gangamai-college-of-engineering-dhule/courses-fees?course_id=1954
Theem College of Engineering - [TCOE],"Palghar, Maharashtra",BE Computer Engineering,"₹ 2,56,000",BE (Information Technology),"₹ 2,56,000",https://collegedunia.com/college/15472-theem-college-of-engineering-tcoe-palghar/courses-fees?course_id=1954
Maulana Mukhtar Ahmad Nadvi Technical Campus,"Malegaon, Maharashtra",BE Electrical Engineering,"₹ 59,000",BE Computer Engineering,"₹ 59,000",https://collegedunia.com/college/59758-maulana-mukhtar-ahmad-nadvi-technical-campus-malegaon/courses-fees?course_id=1959
Shri.Jaykumar Rawal Institute of Technology,"Mumbai, Maharashtra",BE Computer Science and Engineering,"₹ 3,44,000",,,https://collegedunia.com/college/28599-shrijaykumar-rawal-institute-of-technology-mumbai/courses-fees?course_id=1956
