College Name,Location,Branch 1,Fees 1,Branch 2,Fees 2,Link
St. John College of Engineering and Management - [SJCEM],"Palghar, Maharashtra",BE Artificial Intelligence & Mac...,"₹ 3,96,000",BE Computer Engineering,"₹ 3,96,000",https://collegedunia.com/college/15310-st-john-college-of-engineering-and-management-sjcem-palghar/courses-fees?course_id=16332
M H Saboo Siddik College of Engineering - [MHSSCOE],"Mumbai, Maharashtra",BE Computer Engineering,"₹ 6,12,000",BE Artificial Intelligence & Mac...,"₹ 6,12,000",https://collegedunia.com/college/12831-m-h-saboo-siddik-college-of-engineering-mhsscoe-mumbai/courses-fees?course_id=1954
Smt Kashibai Navale College of Engineering - [SKNCOE] Vadgaon,"Pune, Maharashtra",BE Computer Engineering,"₹ 3,86,000",BE (Information Technology),"₹ 3,86,000",https://collegedunia.com/college/15162-smt-kashibai-navale-college-of-engineering-skncoe-vadgaon-pune/courses-fees?course_id=1954
CSMSS Chh. Shahu College of Engineering,"Aurangabad, Maharashtra",B.Tech Computer Science Engineering,"₹ 1,00,000",B.Tech Artificial Intelligence a...,"₹ 1,00,000",https://collegedunia.com/college/56961-csmss-chh-shahu-college-of-engineering-aurangabad/courses-fees?course_id=2049
MS Bidve Engineering College,"Latur, Maharashtra",B.Tech Computer Science Engineering,"₹ 96,501",B.Tech Information Technology,"₹ 96,501",https://collegedunia.com/college/14160-ms-bidve-engineering-college-latur/courses-fees?course_id=2049
SB Jain Institute of Technology Management and Research - [SBJITMR],"Nagpur, Maharashtra",BE Data Science,"₹ 1,25,800",BE Artificial Intelligence & Mac...,"₹ 1,25,800",https://collegedunia.com/college/14809-sb-jain-institute-of-technology-management-and-research-sbjitmr-nagpur/courses-fees?course_id=20614
SNJB's College of Engineering Chandwad,"Nashik, Maharashtra",BE Computer Engineering,"₹ 4,52,000",BE Artificial Intelligence and D...,"₹ 4,52,000",https://collegedunia.com/college/14840-snjbs-college-of-engineering-chandwad-nashik/courses-fees?course_id=1954
Mahatma Gandhi Mission's College of Engineering and Technology - [MGMCET],"Navi Mumbai, Maharashtra",BE Computer Engineering,"₹ 3,68,000",BE Artificial Intelligence & Mac...,"₹ 3,68,000",https://collegedunia.com/college/28732-mahatma-gandhi-missions-college-of-engineering-and-technology-mgmcet-navi-mumbai/courses-fees?course_id=1954
KDK College of Engineering,"Nagpur, Maharashtra",B.Tech Computer Science Engineering,"₹ 1,23,000",B.Tech Artificial Intelligence a...,"₹ 1,23,000",https://collegedunia.com/college/13982-kdk-college-of-engineering-nagpur/courses-fees?course_id=2049
Sharad Institute of Technology College of Engineering,"Kolhapur, Maharashtra",B.Tech Computer Science Engineering,"₹ 86,000",B.Tech Artificial Intelligence a...,"₹ 86,000",https://collegedunia.com/college/15021-sharad-institute-of-technology-college-of-engineering-kolhapur/courses-fees?course_id=2049
JD College of Engineering and Management,"Nagpur, Maharashtra",B.Tech Computer Science Engineering,"₹ 4,20,000",B.Tech Mechanical Engineering,"₹ 4,20,000",https://collegedunia.com/college/45256-jd-college-of-engineering-and-management-nagpur/courses-fees?course_id=2049
Tulsiramji Gaikwad Patil College of Engineering and Technology - [TGPCET],"Nagpur, Maharashtra",BE Biotechnology,"₹ 1,17,500",BE Computer Science and Engineering,"₹ 1,17,500",https://collegedunia.com/college/24538-tulsiramji-gaikwad-patil-college-of-engineering-and-technology-tgpcet-nagpur/courses-fees?course_id=1951
Nutan Maharashtra Institute of Engineering and Technology - [NMIET] Talegaon,"Pune, Maharashtra",BE Computer Engineering,"₹ 1,24,500",BE (Information Technology),"₹ 1,24,500",https://collegedunia.com/college/28806-nutan-maharashtra-institute-of-engineering-and-technology-nmiet-talegaon-pune/courses-fees?course_id=1954
Nagpur Institute of Technology - [NIT],"Nagpur, Maharashtra",BE Computer Science and Engineering,"₹ 1,02,000",BE (Information Technology),"₹ 1,02,000",https://collegedunia.com/college/14412-nagpur-institute-of-technology-nit-nagpur/courses-fees?course_id=1956
Kavikulguru Institute of Technology and Science - [KITS],"Nagpur, Maharashtra",BE (Information Technology),"₹ 92,877",BE Electronics & Communication E...,"₹ 92,877",https://collegedunia.com/college/5609-kavikulguru-institute-of-technology-and-science-kits-nagpur/courses-fees?course_id=5108
Aditya Engineering College - [AEC],"Beed, Maharashtra",B.Tech Computer Science Engineering,"₹ 1,19,500",B.Tech Data Science,"₹ 1,19,500",https://collegedunia.com/college/12732-aditya-engineering-college-aec-beed/courses-fees?course_id=2049
Rajendra Mane College of Engineering and Technology - [RMCET],"Ratnagiri, Maharashtra",BE Computer Engineering,"₹ 76,500",BE Electronics and Computer Engi...,"₹ 76,500",https://collegedunia.com/college/14727-rajendra-mane-college-of-engineering-and-technology-rmcet-ratnagiri/courses-fees?course_id=1954
Dhole Patil College of Engineering - [DPCOE],"Pune, Maharashtra",BE Computer Engineering,"₹ 1,18,490",BE (Information Technology),"₹ 1,18,490",https://collegedunia.com/college/13351-dhole-patil-college-of-engineering-dpcoe-pune/courses-fees?course_id=1954
S.S.P.M. College Of Engineering,"Mumbai, Maharashtra",BE Computer Science,"₹ 2,86,000",BE Computer Engineering,"₹ 2,86,000",https://collegedunia.com/college/57679-sspm-college-of-engineering-mumbai/courses-fees?course_id=1957
Marathwada Mitramandal's Institute of Technology - [MMIT] Lohgaon,"Pune, Maharashtra",BE Computer Engineering,"₹ 1,13,000",BE Artificial Intelligence and D...,"₹ 1,13,000",https://collegedunia.com/college/14284-marathwada-mitramandals-institute-of-technology-mmit-lohgaon-pune/courses-fees?course_id=1954
Aurangabad College of Engineering - [ACE],"Aurangabad, Maharashtra",B.Tech Electronics & Telecommuni...,"₹ 2,72,000",B.Tech Computer Science Engineering,"₹ 2,72,000",https://collegedunia.com/college/12912-aurangabad-college-of-engineering-ace-aurangabad/courses-fees?course_id=2057
NBN Sinhgad School of Engineering - [NBNSSOE],"Ambegaon, Maharashtra",BE Computer Engineering,"₹ 4,12,000",BE (Information Technology),"₹ 4,12,000",https://collegedunia.com/college/14388-nbn-sinhgad-school-of-engineering-nbnssoe-ambegaon/courses-fees?course_id=1954
Padmabhooshan Vasantdada Patil Institute of Technology - [PVPIT],"Pune, Maharashtra",BE Computer Engineering,"₹ 1,15,000",BE Data Science,"₹ 1,15,000",https://collegedunia.com/college/58881-padmabhooshan-vasantdada-patil-institute-of-technology-pvpit-pune/courses-fees?course_id=1954
Sinhgad Academy of Engineering - [SAE] Kondhawa,"Pune, Maharashtra",BE Computer Engineering,"₹ 85,000",BE (Information Technology),"₹ 85,000",https://collegedunia.com/college/15142-sinhgad-academy-of-engineering-sae-kondhawa-pune/courses-fees?course_id=1954
Sanjay Ghodawat University - [SGU],"Kolhapur, Maharashtra",B.Tech Computer Science Engineering,"₹ 1,60,000",,,https://collegedunia.com/university/28965-sanjay-ghodawat-university-sgu-kolhapur/courses-fees?course_id=2049
Vidya Prasarini Sabha's College of Engineering & Technology - [VPSCET] Lonavala,"Pune, Maharashtra",BE Computer Science and Engineering,"₹ 2,20,000",BE Mechanical Engineering,"₹ 2,20,000",https://collegedunia.com/college/58793-vidya-prasarini-sabhas-college-of-engineering-and-technology-vpscet-lonavala-pune/courses-fees?course_id=1956
Dr. D. Y. Patil College of Engineering and Innovation Varale,"Pune, Maharashtra",BE Artificial Intelligence and D...,"₹ 86,973",BE Computer Engineering,"₹ 86,973",https://collegedunia.com/college/58797-dr-d-y-patil-college-of-engineering-and-innovation-varale-pune/courses-fees?course_id=20216
Bhivarabai Sawant Institute of Technolgy and Research - [BSITOR] Wagholi,"Pune, Maharashtra",BE Computer Engineering,"₹ 4,40,000",BE (Information Technology),"₹ 4,40,000",https://collegedunia.com/college/13075-bhivarabai-sawant-institute-of-technolgy-and-research-bsitor-wagholi-pune/courses-fees?course_id=1954
PDEA College of Engineering Manjari,"Pune, Maharashtra",BE Computer Engineering,"₹ 99,000",BE (Information Technology),"₹ 99,000",https://collegedunia.com/college/57387-pdea-college-of-engineering-manjari-pune/courses-fees?course_id=1954
Bhivarabai Sawant College of Engineering & Research-[BSCOER] Narhe,"Pune, Maharashtra",BE Computer Engineering,"₹ 92,000",BE Electronics & Telecom Enginee...,"₹ 92,000",https://collegedunia.com/college/13074-bhivarabai-sawant-college-of-engineering-and-researchbscoer-narhe-pune/courses-fees?course_id=1954
Dr. Vithalrao Vikhe Patil College of Engineering,"Ahmednagar, Maharashtra",BE Computer Engineering,"₹ 4,68,000",BE Artificial Intelligence and D...,"₹ 4,68,000",https://collegedunia.com/college/45753-dr-vithalrao-vikhe-patil-college-of-engineering-ahmednagar/courses-fees?course_id=1954
Trinity Academy of Engineering - [TAE],"Pune, Maharashtra",BE Computer Engineering,"₹ 80,770",BE (Information Technology),,https://collegedunia.com/college/58795-trinity-academy-of-engineering-tae-pune/courses-fees?course_id=1954
RC Patel Institute of Technology - [RCPIT],"Shirpur, Maharashtra",B.Tech Information Technology,"₹ 6,24,000",B.Tech Computer Engineering,"₹ 6,24,000",https://collegedunia.com/college/14640-rc-patel-institute-of-technology-rcpit-shirpur/courses-fees?course_id=5122
ABMSP's Anantrao Pawar College of Engineering & Research - [APCOER],"Pune, Maharashtra",BE Computer Engineering,"₹ 77,371",BE Artificial Intelligence and D...,"₹ 77,371",https://collegedunia.com/college/28345-abmsps-anantrao-pawar-college-of-engineering-and-research-apcoer-pune/courses-fees?course_id=1954
Tatyasaheb Kore Institute of Engineering and Technology - [TKIET],"Kolhapur, Maharashtra",B.Tech {Hons.} Computer Science ...,"₹ 1,05,760",B.Tech (Hons.) Chemical Enginee...,"₹ 1,05,760",https://collegedunia.com/college/15435-tatyasaheb-kore-institute-of-engineering-and-technology-tkiet-kolhapur/courses-fees?course_id=20227
A. P. Shah Institute of Technology - [APSIT],"Thane, Maharashtra",BE Computer Engineering,"₹ 1,33,000",BE Artificial Intelligence & Mac...,"₹ 1,33,000",https://collegedunia.com/college/45639-a-p-shah-institute-of-technology-apsit-thane/courses-fees?course_id=1954
